German,IPA,English,Topic
Hallo,/hˈaloː/,hello,01 Introductions
Guten Morgen,/ɡˈuːtən mˈɔɾɡən/,good morning,01 Introductions
Guten Tag,/ɡˈuːtən tˈɑːk/,good day / hello,01 Introductions
Guten Abend,/ɡˈuːtən ˈɑːbənt/,good evening,01 Introductions
Gute Nacht,/ɡˈuːtə nˈaxt/,good night,01 Introductions
Tschüss,/tʃˈʏs/,bye,01 Introductions
Auf Wiedersehen,/aʊf viːdɜzˈeːən/,goodbye,01 Introductions
bitte,/bˈɪtə/,please / you're welcome,01 Introductions
danke,/dˈaŋkə/,thank you,01 Introductions
Danke schön,/dˈaŋkə ʃˈøːn/,thank you very much,01 Introductions
Entschuldigung,/ɛntʃˈʊldɪɡˌʊŋ/,excuse me / sorry,01 Introductions
ja,/jˈɑː/,yes,01 Introductions
nein,/nˈaɪn/,no,01 Introductions
vielleicht,/fiːllˈaɪçt/,maybe,01 Introductions
heißen,/hˈaɪsən/,to be called,01 Introductions
sein,/zˈaɪn/,to be,01 Introductions
ich,/ˈɪç/,I,01 Introductions
du,/dˈuː/,you (informal singular),01 Introductions
Sie,/zˈiː/,you (formal),01 Introductions
er,/ˈɛɾ/,he,01 Introductions
es,/ˈɛs/,it,01 Introductions
wir,/vˈiːɾ/,we,01 Introductions
ihr,/ˈiːɾ/,you (informal plural),01 Introductions
der Name,/dɛɾ nˈɑːmə/,name,01 Introductions
der Vorname,/dɛɾ fˈɔɾnɑːmə/,first name,01 Introductions
der Nachname,/dɛɾ nˈaxnɑːmə/,last name,01 Introductions
die Person,/diː pɛɾzˈoːn/,person,01 Introductions
der Mann,/dɛɾ mˈan/,man,01 Introductions
die Frau,/diː frˈaʊ/,woman,01 Introductions
das Kind,/das kˈɪnt/,child,01 Introductions
der Freund,/dɛɾ frˈɔønt/,male friend / boyfriend,01 Introductions
die Freundin,/diː frˈɔøndɪn/,female friend / girlfriend,01 Introductions
kennen,/kˈɛnən/,to know / be acquainted with,01 Introductions
kennenlernen,/kˈɛnənlɜnən/,to get to know,01 Introductions
vorstellen,/fˈoːɾʃtˌɛlən/,to introduce,01 Introductions
sich vorstellen,/zɪç fˈoːɾʃtˌɛlən/,to introduce oneself,01 Introductions
Wie heißt du?,/viː hˈaɪst duː/,What is your name?,01 Introductions
Wie geht es dir?,/viː ɡˈeːt ɛs dˈiːɾ/,How are you?,01 Introductions
Mir geht es gut.,/miːɾ ɡˈeːt ɛs ɡˈuːt/,I am fine.,01 Introductions
das Land,/das lˈant/,country,02 Countries and Languages
die Stadt,/diː ʃtˈat/,city,02 Countries and Languages
das Dorf,/das dˈɔɾf/,village,02 Countries and Languages
die Hauptstadt,/diː hˈaʊptstat/,capital city,02 Countries and Languages
die Sprache,/diː ʃpɾˈɑːxə/,language,02 Countries and Languages
Deutsch,/dˈɔøtʃ/,German,02 Countries and Languages
Englisch,/ˈɛŋlɪʃ/,English,02 Countries and Languages
Spanisch,/ʃpˈɑnɪʃ/,Spanish,02 Countries and Languages
Französisch,/frantsˈøːzɪʃ/,French,02 Countries and Languages
Italienisch,/ˌiːtalɪˈeːnɪʃ/,Italian,02 Countries and Languages
Chinesisch,/çiːnˈeːzɪʃ/,Chinese,02 Countries and Languages
Deutschland,/dˈɔøtʃlant/,Germany,02 Countries and Languages
Österreich,/ˈœstɜrˌaɪç/,Austria,02 Countries and Languages
die Schweiz,/diː ʃvˈaɪts/,Switzerland,02 Countries and Languages
Peru,/pˈeːruː/,Peru,02 Countries and Languages
Spanien,/ʃpˈɑnɪən/,Spain,02 Countries and Languages
Frankreich,/frˈaŋkɾaɪç/,France,02 Countries and Languages
Italien,/ˌiːtalɪˈeːn/,Italy,02 Countries and Languages
China,/çˈiːnɑː/,China,02 Countries and Languages
die USA,/diː ˈuːzɑː/,United States,02 Countries and Languages
kommen,/kˈɔmən/,to come,02 Countries and Languages
aus,/ˈaʊs/,from,02 Countries and Languages
wohnen,/vˈoːnən/,to live,02 Countries and Languages
leben,/lˈeːbən/,to live,02 Countries and Languages
sprechen,/ʃpɾˈɛçən/,to speak,02 Countries and Languages
verstehen,/fɛɾʃtˈeːən/,to understand,02 Countries and Languages
lernen,/lˈɛɾnən/,to learn / study,02 Countries and Languages
lesen,/lˈeːzən/,to read,02 Countries and Languages
schreiben,/ʃrˈaɪbən/,to write,02 Countries and Languages
fragen,/frˈɑːɡən/,to ask,02 Countries and Languages
antworten,/ˈantvɔɾtən/,to answer,02 Countries and Languages
buchstabieren,/bˌʊxstabˈiːrən/,to spell,02 Countries and Languages
die Nationalität,/diː nˌatsɪˌoːnˈɑːliːtˈɛːt/,nationality,02 Countries and Languages
die Adresse,/diː ˈadɾɛsə/,address,02 Countries and Languages
die Telefonnummer,/diː tˌeːleːfˈɔnʊmɜ/,telephone number,02 Countries and Languages
die E-Mail-Adresse,/diː ˈeː(en)mˈeɪl(de)ˈadɾɛsə/,email address,02 Countries and Languages
Woher kommst du?,/voːhˈeːɾ kˈɔmst duː/,Where are you from?,02 Countries and Languages
Ich komme aus Peru.,/ɪç kˈɔmə ˌaʊs pˈeːruː/,I come from Peru.,02 Countries and Languages
Welche Sprachen sprichst du?,/vˈɛlçə ʃpɾˈɑːxən ʃpɾˈɪkst duː/,Which languages do you speak?,02 Countries and Languages
Ich spreche Deutsch.,/ɪç ʃpɾˈɛçə dˈɔøtʃ/,I speak German.,02 Countries and Languages
die Familie,/diː famˈiːlɪə/,family,03 Family
die Eltern,/diː ˈɛltɜn/,parents,03 Family
die Mutter,/diː mˈʊtɜ/,mother,03 Family
der Vater,/dɛɾ fˈɑːtɜ/,father,03 Family
die Mama,/diː mˈɑmɑː/,mom,03 Family
der Papa,/dɛɾ pˈɑpɑː/,dad,03 Family
die Tochter,/diː tˈɔxtɜ/,daughter,03 Family
der Sohn,/dɛɾ zˈoːn/,son,03 Family
die Schwester,/diː ʃvˈɛstɜ/,sister,03 Family
der Bruder,/dɛɾ bɾˈuːdɜ/,brother,03 Family
die Geschwister,/diː ɡəʃvˈɪstɜ/,siblings,03 Family
die Großmutter,/diː ɡɾˈɔsmʊtɜ/,grandmother,03 Family
der Großvater,/dɛɾ ɡɾˈɔsfɑːtɜ/,grandfather,03 Family
die Oma,/diː ˈoːmɑː/,grandma,03 Family
der Opa,/dɛɾ ˈoːpɑː/,grandpa,03 Family
die Großeltern,/diː ɡɾˈoːsɛltɜn/,grandparents,03 Family
die Tante,/diː tˈantə/,aunt,03 Family
der Onkel,/dɛɾ ˈɔnkəl/,uncle,03 Family
die Cousine,/diː kuːzˈiːnə/,female cousin,03 Family
der Cousin,/dɛɾ kuːzˈiːn/,male cousin,03 Family
die Ehefrau,/diː ˈeːɛfrˌaʊ/,wife,03 Family
der Ehemann,/dɛɾ ˈeːeːmˌan/,husband,03 Family
